fold_id,train_size,test_size,accuracy,directional_accuracy
0,4498,449,0.5924276169265034,0.45195729537366547
1,4947,449,0.534521158129176,0.4878048780487805
2,5396,449,0.4610244988864143,0.38338658146964855
3,5845,449,0.532293986636971,0.473015873015873
4,6294,449,0.4209354120267261,0.32867132867132864
5,6743,449,0.5211581291759465,0.5657894736842105
6,7192,449,0.5567928730512249,0.5296610169491526
7,7641,449,0.5902004454342984,0.5819397993311036
8,8090,449,0.48775055679287305,0.42483660130718953
9,8539,449,0.5835189309576837,0.44981412639405205
