fold_id,train_size,test_size,accuracy,directional_accuracy
0,4498,449,0.5879732739420935,0.4697508896797153
1,4947,449,0.5389755011135857,0.4969512195121951
2,5396,449,0.46547884187082406,0.3993610223642173
3,5845,449,0.5300668151447662,0.49523809523809526
4,6294,449,0.43875278396436523,0.34965034965034963
5,6743,449,0.5501113585746102,0.5493421052631579
6,7192,449,0.5590200445434298,0.4576271186440678
7,7641,449,0.5478841870824054,0.5518394648829431
8,8090,449,0.47884187082405344,0.4150326797385621
9,8539,449,0.5567928730512249,0.44609665427509293
