fold_id,train_size,test_size,accuracy,directional_accuracy
0,35998,3599,0.7538205056960267,0.11473684210526315
1,39597,3599,0.8074465129202556,0.11357340720221606
2,43196,3599,0.81939427618783,0.11458333333333333
3,46795,3599,0.7757710475131981,0.14069767441860465
4,50394,3599,0.7557654904140039,0.0858416945373467
5,53993,3599,0.7616004445679355,0.0985277463193658
6,57592,3599,0.8249513753820505,0.11060606060606061
7,61191,3599,0.7968880244512364,0.10457516339869281
8,64790,3599,0.7957766046123923,0.08192457737321196
9,68389,3599,0.7132536815782162,0.07929104477611941
