fold_id,train_size,test_size,accuracy,directional_accuracy
0,35998,3599,0.7696582383995554,0.29157894736842105
1,39597,3599,0.811058627396499,0.2590027700831025
2,43196,3599,0.8141150319533204,0.2663690476190476
3,46795,3599,0.7879966657404834,0.2941860465116279
4,50394,3599,0.7624340094470686,0.20512820512820512
5,53993,3599,0.7704918032786885,0.22310305775764439
6,57592,3599,0.8313420394554043,0.23939393939393938
7,61191,3599,0.8018894137260351,0.20915032679738563
8,64790,3599,0.810780772436788,0.1976592977893368
9,68389,3599,0.7371492081133648,0.19962686567164178
